restaurant_id,name,city,area,cuisine,rating,is_pure_veg,source,avg_delivery_time,avg_price_for_two
34146,Cafe GHY-35,Guwahati,Lokhra,"Nepalese, Tibetan",4.3,False,swiggy,,300.0
34147,Chatkara Food Court,Patna,,"Fast Food, North Indian, Chinese, South Indian, Shake",4.3,,zomato,42 min,150.0
34148,Yo China,Patna,,"Chinese, Continental, North Indian, Seafood, Ice Cream, Desserts, Beverages",4.3,,zomato,32 min,150.0
34149,KFC,Udaipur,Lake City Mall,"Burgers, Biryani",4.3,False,swiggy,,450.0
34150,Yummy Tummy,Bhilwara,Old Bhilwara,"Chinese, Ice Cream",4.3,True,swiggy,,200.0
34151,A To Z RESTAURANT,Palakkad,Palakkad Town,"Arabian, South Indian",4.3,False,swiggy,,200.0
34152,Hotel Lakshmi,Palakkad,Koorkencherry,"South Indian, Chinese",4.3,False,swiggy,,250.0
34153,Alif Kuzhimandhi,Palakkad,Cherpulassery,"Arabian, Biryani",4.3,False,swiggy,,200.0
34154,Maharaja Foods,Guwahati,Bhetapara,"Indian, Assamese",4.3,False,swiggy,,400.0
34155,Cafe Coffee Day,Guwahati,Beltola,"Beverages, Cafe",4.3,False,swiggy,,400.0
34156,Bite & Beans 2D Cafe House,Guwahati,Ganeshguri,Korean,4.3,False,swiggy,,600.0
34157,The Cake,Guwahati,Beltola,"Bakery, Fast Food",4.3,False,swiggy,,200.0
34158,Urban Tadkaa,Guwahati,Lokhra,"North Indian, Biryani",4.3,True,swiggy,,400.0
34159,Forits Pizza,Kochi,Thrippunithura,"Pizzas, Burgers",4.3,False,swiggy,,200.0
34160,Hotel Anapoorna Pure Veg,Kochi,Perumbavoor,"Indian, Chinese",4.3,True,swiggy,,150.0
34161,Popsy - House Of Popsicles,Kochi,Panampilly Nagar,Indian,4.3,True,swiggy,,40.0
34162,Sri Bhavan,Palakkad,Palakkad Town,"South Indian, North Indian",4.3,True,swiggy,,250.0
34163,K R Bakes Pvt. Ltd,Palakkad,Vidyut Nagar,"Desserts, Chinese",4.3,False,swiggy,,200.0
34164,Deli Bakes And Grills,Palakkad,Palakkad Town,"Beverages, Snacks",4.3,False,swiggy,,200.0
34165,Krishna'S Panipuri & Kalan,Palakkad,Palakkad Town,"Street Food, South Indian",4.3,False,swiggy,,150.0
34166,Oh My Hunger,Palakkad,Palakkad Town,"Biryani, Chinese",4.3,False,swiggy,,299.0
34167,Cafe Cloud- 9,Palakkad,Mannuthy,"Beverages, Burgers",4.3,False,swiggy,,450.0
34168,SN Pizza,Bhilwara,Old Bhilwara,"Burgers, Ice Cream",4.3,True,swiggy,,150.0
34169,Bherunath Dabeli Center,Bhilwara,Old Bhilwara,"Pizzas, Snacks",4.3,True,swiggy,,200.0
34170,Favourite Pizza,Kochi,Kakkanad,"Italian, Pizzas",4.3,False,swiggy,,200.0
34171,Petoo,Guwahati,Chandmari,Indian,4.3,False,swiggy,,300.0
34172,Regal Multi Cuisine Restaurant,Guwahati,Maligaon,"North Indian, Chinese",4.3,False,swiggy,,500.0
34173,Metro Kitchen,Guwahati,Beltola,"North Indian, Chinese",4.3,False,swiggy,,350.0
34174,United Coconut,Palakkad,Puzhakkal,"South Indian, Biryani",4.3,False,swiggy,,1400.0
34175,Hotel Sri Saravana Bavan,Palakkad,Palakkad Town,"South Indian, North Indian",4.3,True,swiggy,,200.0
34176,Cafe Coffee Day,Palakkad,Kalmandapam,"Beverages, Cafe",4.3,False,swiggy,,400.0
34177,Delhi Thali Restaurant,Bhilwara,Old Bhilwara,"North Indian, Desserts",4.3,True,swiggy,,200.0
34178,R7 Pizza,Bhilwara,Old Bhilwara,Pizzas,4.3,True,swiggy,,129.0
34179,Oldays Cafe,Bhilwara,Old Bhilwara,"Chinese, Continental",4.3,True,swiggy,,200.0
34180,Cake N Factory,Bhilwara,Old Bhilwara,"Burgers, Ice Cream",4.3,True,swiggy,,200.0
34181,7th Heaven Cake Shop,Patna,,"Desserts, Bakery",4.3,,zomato,32 min,400.0
34182,Krishnashree,Patna,,"North Indian, Fast Food, Desserts, Mithai, Chinese, South Indian, Bakery, Shake",4.3,,zomato,34 min,400.0
34183,Behrouz Biryani,Patna,,"Biryani, Kebab, Hyderabadi, Lucknowi",4.3,,zomato,28 min,400.0
34184,Glimmer Gabriel Food Products,Palakkad,Nellikunnu,"Snacks, Fast Food",4.3,False,swiggy,,600.0
34185,Waffle Street,Palakkad,Puzhakkal,"Desserts, Ice Cream",4.3,False,swiggy,,300.0
34186,Eat Best Eatery Hub,Palakkad,Palakkad Town,"Continental, American",4.3,False,swiggy,,250.0
34187,Aroma Lounge & Deli By Crowne Plaza,Kochi,Maradu,"Continental, Indian",4.3,False,swiggy,,1000.0
34188,80'S CLUB,Kochi,Vyttila,"South Indian, Chinese",4.3,False,swiggy,,200.0
34189,Mr.SHAWARMA & KUZHIMANTHI CAFE,Kochi,Fort Kochi,"Arabian, Beverages",4.3,False,swiggy,,300.0
34190,Midway Healthy Meal,Jalandhar,,"Salad, Desserts, Sandwich, Juices, Beverages, Shake",4.3,,zomato,34 min,250.0
34191,Pats N Fries,Kochi,Elamakkara,"North Indian, Chaat",4.3,False,swiggy,,200.0
34192,King Fried Chicken Cafe,Palakkad,Palakkad Town,Indian,4.3,False,swiggy,,350.0
34193,Mahalaxmi Bakers,Bhilwara,Old Bhilwara,"Burgers, Pizzas",4.3,True,swiggy,,200.0
34194,Mehraj Biryani,Palakkad,Palakkad Town,"Biryani, Snacks",4.3,False,swiggy,,200.0
34195,Bhabhi's Kitchen,Patna,,"North Indian, Chinese, Biryani",4.3,,zomato,33 min,200.0
34196,Hotel Royal Pudupallistreet,Palakkad,Palakkad Town,"North Indian, Biryani",4.3,False,swiggy,,200.0
34197,Best Direct Sale,Palakkad,Tippusulthan Nagar,"South Indian, Sweets",4.3,True,swiggy,,150.0
34198,Al Alfaham Corner,Palakkad,Mannuthy,Indian,4.3,False,swiggy,,400.0
34199,Hotel Indraprastha,Palakkad,Palakkad Town,"South Indian, North Indian",4.3,False,swiggy,,250.0
34200,Aroma Kitchen,Kochi,Panampilly Nagar,"Kerala, South Indian",4.3,False,swiggy,,250.0
