hotel_id,name,city,google_rating,price_per_night_inr,amenities,source,total_reviews,condition_label,description
31,2 BHK Home in KPHB in Prime Location,Hyderabad,9.5,,,booking,2.0,Exceptional,"Situated 9.4 km from ISB, 15 km from City Centre Mall and 16 km from Golkonda Fort, 2 BHK Home in KPHB in Prime Location features accommodation located in Hyderabad."
32,"2 BHK near Jaipur airport, EHCC & Fortis Hospital",Jaipur,,,,booking,,,"Set in Jaipur, 7 km from Govind Dev Ji Temple and 7.6 km from Birla Mandir Temple, Jaipur, 2 BHK near Jaipur airport, EHCC & Fortis Hospital offers free WiFi and air conditioning."
33,27 Axis Villa in Alibaug,Alibag,,,,booking,,,"Featuring an outdoor swimming pool, a garden, and a shared lounge, 27 Axis Villa in Alibaug offers accommodation in Alibag with free WiFi and garden views."
34,"2BHK AIRPORT 5KM ,RAILWAY STATION 5KM",Lucknow,7.0,,,booking,1.0,Good,"Offering garden views, 2BHK AIRPORT 5KM, RAILWAY STATION 5KM is an accommodation situated in Lucknow, 9 km from Lucknow University and 4.4 km from Lucknow Junction Railway Station."
35,2BHK Business Class Service Apartment In Ramdaspeth Nagpur,Nagpur,,,,booking,,,"Located 3.8 km from Vidarbha Cricket Association Stadium and 1.2 km from Ramakrishna Ashram in Nagpur, 2BHK Business Class Service Apartment In Ramdaspeth Nagpur offers accommodation with a kitchen."
36,2BHK Comfort For Faimly in GaneshPeth Nagpur,Nagpur,,,,booking,,,"Located 2.1 km from Nagpur Railway Station, 2.5 km from Zero Mile Stone Nagpur and 3.2 km from Ramakrishna Ashram, 2BHK Comfort For Faimly in GaneshPeth Nagpur provides accommodation situated in..."
37,2bhk fully furnished flat,Pune,1.0,,,booking,2.0,Review score,"Set 7.7 km from University of Pune and 10 km from Pataleshwar Cave Temple in Pune, 2bhk fully furnished flat offers accommodation with a kitchen."
38,2BHK Lux Home Manyata Airport Hennur Pool Gym BH02,Bangalore,3.3,,,booking,3.0,Review score,"Offering pool views, 2BHK Lux Home Manyata Airport Hennur Pool Gym BH02 is an accommodation situated in Bangalore, 13 km from Commercial Street and 14 km from Chinnaswamy Stadium."
39,2BHK Luxurious Flat In Nagpur,Nagpur,,,,booking,,,"2BHK Luxurious Flat In Nagpur is set in Nagpur, 12 km from Vidarbha Cricket Association Stadium, 8.5 km from Deekshabhoomi, as well as 8.5 km from Ramakrishna Ashram."
40,"2BHK service Apartment in Vadapalani, Chennai",Chennai,,,,booking,,,"2BHK service Apartment in Vadapalani, Chennai is located in Chennai, 7.2 km from Chennai Trade Centre, 8.4 km from Spencer Plaza Mall, and 8.5 km from St. Thomas Mount."
41,2BHK Shared Apartment in C-Scheme Jaipur,Jaipur,7.0,,,booking,3.0,Good,"Set in Jaipur in the Rajasthan region, 2BHK Shared Apartment in C-Scheme Jaipur offers accommodation with free private parking."
42,"2BHK, 1BHK & 1room",Hyderabad,1.0,,,booking,1.0,Review score,"Situated 4.4 km from City Centre Mall and 4.9 km from Golkonda Fort, 2BHK, 1BHK & 1room features accommodation in Hyderabad. Free WiFi is available throughout the property."
43,2BR Mumbai theme service apartment for staycation by FLORA STAYS,Mumbai,9.3,,,booking,6.0,Superb,"Located within 5.8 km of Phoenix Market City Mall and 8.1 km of Dadar Railway Station in Mumbai, 2BR Mumbai theme service apartment for staycation by FLORA STAYS provides accommodation with free WiFi..."
44,3 BHK Fully Furnished Home in KPHB with Parking,Hyderabad,,,,booking,,,"3 BHK Fully Furnished Home in KPHB with Parking is set in Hyderabad, 9.4 km from ISB, 15 km from City Centre Mall, as well as 16 km from Golkonda Fort."
45,"3 BHK In VIP Area, Hazrat Ganj, Lucknow",Lucknow,1.0,,,booking,1.0,Review score,"3 BHK In VIP Area, Hazrat Ganj, Lucknow is situated in Lucknow, 2.2 km from KD Singh Stadium, 3.3 km from Ambedkar Park, as well as 4.2 km from Lucknow Junction Railway Station."
46,3 BHK villa near Akshayapatra,Jaipur,,,,booking,,,"3 BHK villa near Akshayapatra is set in Jaipur, 13 km from Birla Mandir Temple, Jaipur, 15 km from Govind Dev Ji Temple, and 17 km from City Palace."
47,3 BY OYO Nami Residency Ahmedabad,Ahmedabad,7.7,,,booking,298.0,Good,Travel Sustainable property
48,35 Sahakar Suites-A Luxury Aparthotel in Jaipur,Jaipur,8.2,,,booking,6.0,Very good,Travel Sustainable property
49,3BHK Airport Vista Apartment,Jaipur,,,,booking,,,Travel Sustainable property
50,3BHK Luxury Apartment,Amritsar,,,,booking,,,"Situated in Amritsar in the Punjab region, 3BHK Luxury Apartment features a balcony and garden views. It has a garden, a terrace, city views and free WiFi throughout the property."
51,3bhk smart homes in vedic village,Kolkata,10.0,,,booking,1.0,Exceptional,"3bhk smart homes in vedic village, a property with a garden and a terrace, is set in Kolkata, 11 km from Dumdum Metro Station, 17 km from M G Road Metro Station, as well as 17 km from Sealdah Railway..."
52,3BHK Super Premium Penthouse in Central Jaipur,Jaipur,10.0,,,booking,7.0,Exceptional,Travel Sustainable property
53,3rd Milestone,meerut,4.4,2870.0,"0, 0, 0, 0, 0, 0, 0, 0, 0",google,,,
54,3Star Villa,Chennai,7.3,,,booking,11.0,Good,"Situated in Chennai, 4.7 km from Madras Medical College, 3Star Villa features accommodation with a garden, free private parking, a shared lounge and a terrace."
55,"4-Bhk, Stone Home, Banjara Hills, Luxurious Home",Hyderabad,10.0,,,booking,1.0,Exceptional,"Situated 6.5 km from City Centre Mall, 8.4 km from Ravindra Bharathi and 9 km from AP State Archaeology Museum, 4-Bhk, Stone Home, Banjara Hills, Luxurious Home features accommodation set in..."
56,4BHK Amaltas Villa by The Rentalgram,Pune,,,,booking,,,"Set 15 km from Raja Dinkar Kelkar Museum, 4BHK Amaltas Villa by The Rentalgram offers accommodation in Pune with access to a hot tub."
57,4bhk Aqua roof top swimming pool villa vedic village,Kolkata,,,,booking,,,"Located 17 km from Dumdum Metro Station, 4bhk Aqua roof top swimming pool villa vedic village offers a garden, a terrace and air-conditioned accommodation with a balcony and free WiFi."
58,4N Homestay,Amritsar,9.5,,,booking,82.0,Exceptional,"Set in Amritsar, less than 1 km from Golden Temple and a 10-minute walk from Jallianwala Bagh, 4N Homestay offers accommodation with free WiFi, air conditioning and access to a garden with a terrace."
59,4U Business Hotel,Chennai,4.5,,,booking,4.0,Review score,Travel Sustainable property
60,5 BHK luxury Duplex,Hyderabad,,,,booking,,,"5 BHK luxury Duplex is located in Hyderabad, 8.6 km from ISB, 9.4 km from City Centre Mall, and 12 km from Ravindra Bharathi."
61,5 BY OYO Metropolitan,Jaipur,7.5,,,booking,625.0,Good,Travel Sustainable property
62,"5 min walk to osho resort, kp6",Pune,1.0,,,booking,1.0,Review score,"Featuring air-conditioned accommodation with a balcony, 5 min walk to osho resort, kp6 is set in Pune. This homestay is 2.8 km from Darshan Museum and 4.8 km from Pataleshwar Cave Temple."
63,5/4 - Calcutta's freshest BnB,Kolkata,8.8,,,booking,48.0,Fabulous,"Located in Kolkata and with Indian Museum reachable within 3.4 km, 5/4 - Calcutta's freshest BnB provides a tour desk, non-smoking rooms, a garden, free WiFi throughout the property and a shared..."
64,"5BHK Luxury Villa, Vazhakkala Kochi, Kakkanad",Cochin,,,,booking,,,"Offering garden views, 5BHK Luxury Villa, Vazhakkala Kochi, Kakkanad is an accommodation situated in Cochin, 4.9 km from Jawaharlal Nehru Stadium and 5.1 km from CUSAT."
65,"601, One Bedroom Apartment (Fully Furnished)",Cochin,,,,booking,,,"Located in Cochin, 601, One Bedroom Apartment (Fully Furnished) provides accommodation with a private pool. This apartment is 4.8 km from Kerala Folklore Museum and 10 km from Mattancherry Palace."
66,"62, Sardar Avenue, Amritsar",Amritsar,3.0,,,booking,2.0,Review score,"Located in Amritsar, 5.6 km from Golden Temple and 5.4 km from Jallianwala Bagh, 62, Sardar Avenue, Amritsar provides accommodation with free WiFi, air conditioning, a garden and a terrace."
67,66 Residency-Boutique City Centre Hotel,Jaipur,7.2,,,booking,25.0,Good,Travel Sustainable property
68,7 Apple Hotel - Aurangabad,aurangabad,4.0,2244.0,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Full-service laundry, Accessible, Kid-friendly",google,,,
69,7 Apple Hotel - Vadodara,vadodara,4.4,1352.0,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Accessible",google,,,
